#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/10/2024 09:40:00,27.80,24432.64,,
2,07/10/2024 09:50:00,27.75,23121.92,,
3,07/10/2024 10:00:00,27.93,20254.72,,
4,07/10/2024 10:10:00,28.14,24473.60,,
5,07/10/2024 10:11:20,,,Logged,
6,07/10/2024 10:14:51,,,Logged,
7,07/10/2024 10:20:00,27.93,20249.60,,
8,07/10/2024 10:30:00,27.80,10081.28,,
9,07/10/2024 10:40:00,27.84,16220.16,,
10,07/10/2024 10:50:00,27.75,15452.16,,
11,07/10/2024 11:00:00,28.57,29040.64,,
12,07/10/2024 11:10:00,29.08,39137.28,,
13,07/10/2024 11:20:00,29.77,40704.00,,
14,07/10/2024 11:30:00,30.63,59351.04,,
15,07/10/2024 11:40:00,29.90,29460.48,,
16,07/10/2024 11:50:00,28.01,9359.36,,
17,07/10/2024 12:00:00,27.97,13143.04,,
18,07/10/2024 12:10:00,27.88,11397.12,,
19,07/10/2024 12:20:00,27.75,10516.48,,
20,07/10/2024 12:30:00,27.67,8844.80,,
21,07/10/2024 12:40:00,27.58,10716.16,,
22,07/10/2024 12:50:00,27.63,11008.00,,
23,07/10/2024 13:00:00,27.54,4881.92,,
24,07/10/2024 13:08:16,,,Logged,
25,07/10/2024 13:10:00,27.54,5675.52,,
26,07/10/2024 13:20:00,27.37,6126.08,,
27,07/10/2024 13:30:00,27.32,4865.28,,
28,07/10/2024 13:40:00,27.32,2695.68,,
29,07/10/2024 13:50:00,27.41,6364.16,,
30,07/10/2024 14:00:00,27.54,4756.48,,
31,07/10/2024 14:10:00,27.50,5969.92,,
32,07/10/2024 14:20:00,27.63,19548.16,,
33,07/10/2024 14:30:00,27.84,10040.32,,
34,07/10/2024 14:40:00,27.63,7759.36,,
35,07/10/2024 14:50:00,27.63,18892.80,,
36,07/10/2024 15:00:00,27.54,1680.64,,
37,07/10/2024 15:10:00,27.41,1699.20,,
38,07/10/2024 15:20:00,27.28,1293.12,,
39,07/10/2024 15:30:00,27.24,2604.80,,
40,07/10/2024 15:40:00,27.20,2667.52,,
41,07/10/2024 15:50:00,27.15,2573.44,,
42,07/10/2024 16:00:00,27.11,2586.24,,
43,07/10/2024 16:10:00,27.11,3042.56,,
44,07/10/2024 16:20:00,27.15,4107.52,,
45,07/10/2024 16:30:00,27.24,4629.76,,
46,07/10/2024 16:40:00,27.20,3386.88,,
47,07/10/2024 16:50:00,27.24,3889.92,,
48,07/10/2024 17:00:00,27.15,1482.24,,
49,07/10/2024 17:10:00,27.07,1594.24,,
50,07/10/2024 17:20:00,27.02,1305.60,,
51,07/10/2024 17:30:00,26.98,383.20,,
52,07/10/2024 17:40:00,26.90,757.44,,
53,07/10/2024 17:50:00,26.85,1189.76,,
54,07/10/2024 18:00:00,26.85,1182.40,,
55,07/10/2024 18:10:00,26.77,800.00,,
56,07/10/2024 18:20:00,26.72,636.32,,
57,07/10/2024 18:30:00,26.68,203.84,,
58,07/10/2024 18:40:00,26.68,414.24,,
59,07/10/2024 18:50:00,26.64,217.84,,
60,07/10/2024 19:00:00,26.60,160.40,,
61,07/10/2024 19:10:00,26.55,89.00,,
62,07/10/2024 19:20:00,26.55,32.40,,
63,07/10/2024 19:30:00,26.51,6.02,,
64,07/10/2024 19:40:00,26.47,0.00,,
65,07/10/2024 19:50:00,26.47,0.00,,
66,07/10/2024 20:00:00,26.51,0.00,,
67,07/10/2024 20:10:00,26.98,0.00,,
68,07/10/2024 20:20:00,26.90,0.00,,
69,07/10/2024 20:30:00,26.81,0.00,,
70,07/10/2024 20:40:00,26.72,0.00,,
71,07/10/2024 20:50:00,26.64,0.00,,
72,07/10/2024 21:00:00,26.60,0.00,,
73,07/10/2024 21:10:00,26.55,0.00,,
74,07/10/2024 21:20:00,26.47,0.00,,
75,07/10/2024 21:30:00,26.47,0.00,,
76,07/10/2024 21:40:00,26.47,0.00,,
77,07/10/2024 21:50:00,26.94,0.00,,
78,07/10/2024 22:00:00,26.94,0.00,,
79,07/10/2024 22:10:00,26.85,0.00,,
80,07/10/2024 22:20:00,26.77,0.00,,
81,07/10/2024 22:30:00,26.68,0.00,,
82,07/10/2024 22:40:00,26.60,0.00,,
83,07/10/2024 22:50:00,26.55,0.00,,
84,07/10/2024 23:00:00,26.47,0.00,,
85,07/10/2024 23:10:00,26.42,0.00,,
86,07/10/2024 23:20:00,26.98,0.00,,
87,07/10/2024 23:30:00,26.90,0.00,,
88,07/10/2024 23:40:00,26.81,0.00,,
89,07/10/2024 23:50:00,26.72,0.00,,
90,07/11/2024 00:00:00,26.64,0.00,,
91,07/11/2024 00:10:00,26.60,0.00,,
92,07/11/2024 00:20:00,26.55,0.00,,
93,07/11/2024 00:30:00,26.38,0.00,,
94,07/11/2024 00:40:00,26.94,0.00,,
95,07/11/2024 00:50:00,26.90,0.00,,
96,07/11/2024 01:00:00,26.81,0.00,,
97,07/11/2024 01:10:00,26.68,0.00,,
98,07/11/2024 01:20:00,26.64,0.00,,
99,07/11/2024 01:30:00,26.55,0.00,,
100,07/11/2024 01:40:00,26.42,0.00,,
101,07/11/2024 01:50:00,26.51,0.00,,
102,07/11/2024 02:00:00,26.98,0.00,,
103,07/11/2024 02:10:00,26.90,0.00,,
104,07/11/2024 02:20:00,26.77,0.00,,
105,07/11/2024 02:30:00,26.64,0.00,,
106,07/11/2024 02:40:00,26.55,0.00,,
107,07/11/2024 02:50:00,26.51,0.00,,
108,07/11/2024 03:00:00,26.77,0.00,,
109,07/11/2024 03:10:00,26.98,0.00,,
110,07/11/2024 03:20:00,26.81,0.00,,
111,07/11/2024 03:30:00,26.68,0.00,,
112,07/11/2024 03:40:00,26.64,0.00,,
113,07/11/2024 03:50:00,26.55,0.00,,
114,07/11/2024 04:00:00,26.47,0.00,,
115,07/11/2024 04:10:00,26.90,0.00,,
116,07/11/2024 04:20:00,26.94,0.00,,
117,07/11/2024 04:30:00,26.77,0.00,,
118,07/11/2024 04:40:00,26.64,0.00,,
119,07/11/2024 04:50:00,26.55,0.00,,
120,07/11/2024 05:00:00,26.47,0.00,,
121,07/11/2024 05:10:00,26.90,0.00,,
122,07/11/2024 05:20:00,26.90,0.00,,
123,07/11/2024 05:30:00,26.77,0.00,,
124,07/11/2024 05:40:00,26.64,2.68,,
125,07/11/2024 05:50:00,26.60,18.70,,
126,07/11/2024 06:00:00,26.42,64.80,,
127,07/11/2024 06:10:00,26.85,132.20,,
128,07/11/2024 06:20:00,26.85,230.48,,
129,07/11/2024 06:30:00,26.81,439.84,,
130,07/11/2024 06:40:00,26.68,642.08,,
131,07/11/2024 06:50:00,26.60,975.68,,
132,07/11/2024 07:00:00,26.60,1516.16,,
133,07/11/2024 07:10:00,26.60,1260.16,,
134,07/11/2024 07:20:00,26.55,1453.44,,
135,07/11/2024 07:30:00,26.55,1269.12,,
136,07/11/2024 07:40:00,26.98,1413.76,,
137,07/11/2024 07:50:00,26.94,1132.80,,
138,07/11/2024 08:00:00,26.85,1684.48,,
139,07/11/2024 08:10:00,26.77,1928.32,,
140,07/11/2024 08:20:00,26.64,2362.88,,
141,07/11/2024 08:30:00,26.64,2149.76,,
142,07/11/2024 08:40:00,26.60,3257.60,,
143,07/11/2024 08:50:00,26.60,2868.48,,
144,07/11/2024 09:00:00,26.60,4669.44,,
145,07/11/2024 09:10:00,26.72,6412.80,,
146,07/11/2024 09:20:00,26.77,4944.64,,
147,07/11/2024 09:30:00,26.77,4957.44,,
148,07/11/2024 09:40:00,26.77,3651.84,,
149,07/11/2024 09:50:00,26.81,6945.28,,
150,07/11/2024 10:00:00,26.77,2604.80,,
151,07/11/2024 10:10:00,26.85,5067.52,,
152,07/11/2024 10:20:00,26.90,7592.96,,
153,07/11/2024 10:30:00,26.90,5885.44,,
154,07/11/2024 10:40:00,26.90,5163.52,,
155,07/11/2024 10:50:00,26.90,4798.72,,
156,07/11/2024 11:00:00,26.94,4299.52,,
157,07/11/2024 11:10:00,26.98,9530.88,,
158,07/11/2024 11:20:00,27.02,6300.16,,
159,07/11/2024 11:30:00,27.02,4709.12,,
160,07/11/2024 11:40:00,27.07,5506.56,,
161,07/11/2024 11:50:00,27.02,5304.32,,
162,07/11/2024 12:00:00,26.90,4627.20,,
163,07/11/2024 12:10:00,26.81,2749.44,,
164,07/11/2024 12:20:00,26.68,1954.56,,
165,07/11/2024 12:30:00,26.60,3284.48,,
166,07/11/2024 12:40:00,26.55,4677.12,,
167,07/11/2024 12:50:00,27.37,11023.36,,
168,07/11/2024 13:00:00,27.37,6807.04,,
169,07/11/2024 13:10:00,27.45,7434.24,,
170,07/11/2024 13:20:00,28.40,9021.44,,
171,07/11/2024 13:30:00,28.40,7011.84,,
172,07/11/2024 13:40:00,28.53,7142.40,,
173,07/11/2024 13:50:00,28.61,6970.88,,
174,07/11/2024 14:00:00,28.70,18355.20,,
175,07/11/2024 14:10:00,28.87,19717.12,,
176,07/11/2024 14:20:00,29.00,20254.72,,
177,07/11/2024 14:30:00,28.70,6451.20,,
178,07/11/2024 14:40:00,28.70,6082.56,,
179,07/11/2024 14:50:00,28.61,6983.68,,
180,07/11/2024 15:00:00,28.44,5432.32,,
181,07/11/2024 15:10:00,28.40,5130.24,,
182,07/11/2024 15:20:00,28.27,2028.80,,
183,07/11/2024 15:30:00,28.18,3604.48,,
184,07/11/2024 15:40:00,28.05,2969.60,,
185,07/11/2024 15:50:00,28.05,4474.88,,
186,07/11/2024 16:00:00,27.88,2497.28,,
187,07/11/2024 16:10:00,27.88,4974.08,,
188,07/11/2024 16:20:00,27.80,3389.44,,
189,07/11/2024 16:30:00,27.67,2184.32,,
190,07/11/2024 16:40:00,27.63,2283.52,,
191,07/11/2024 16:50:00,27.54,1628.16,,
192,07/11/2024 17:00:00,27.93,1514.88,,
193,07/11/2024 17:10:00,27.93,1566.72,,
194,07/11/2024 17:20:00,27.75,1818.88,,
195,07/11/2024 17:30:00,27.67,1200.64,,
196,07/11/2024 17:40:00,27.54,1372.16,,
197,07/11/2024 17:50:00,27.50,434.88,,
198,07/11/2024 18:00:00,27.97,927.68,,
199,07/11/2024 18:10:00,27.84,905.28,,
200,07/11/2024 18:20:00,27.71,633.76,,
201,07/11/2024 18:30:00,27.58,441.44,,
202,07/11/2024 18:40:00,27.50,409.28,,
203,07/11/2024 18:50:00,27.93,309.28,,
204,07/11/2024 19:00:00,27.80,164.56,,
205,07/11/2024 19:10:00,27.67,68.52,,
206,07/11/2024 19:20:00,27.58,9.14,,
207,07/11/2024 19:30:00,27.54,1.44,,
208,07/11/2024 19:40:00,27.93,0.00,,
