#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/10/2024 10:20:00,27.88,21606.40,,
2,07/10/2024 10:30:00,27.84,10915.84,,
3,07/10/2024 10:40:00,27.84,16593.92,,
4,07/10/2024 10:50:00,27.75,16348.16,,
5,07/10/2024 11:00:00,28.65,31959.04,,
6,07/10/2024 11:10:00,29.13,41676.80,,
7,07/10/2024 11:20:00,29.77,41482.24,,
8,07/10/2024 11:30:00,30.63,56606.72,,
9,07/10/2024 11:40:00,29.94,30115.84,,
10,07/10/2024 11:50:00,28.10,11422.72,,
11,07/10/2024 12:00:00,27.84,13644.80,,
12,07/10/2024 12:10:00,27.80,11909.12,,
13,07/10/2024 12:20:00,27.67,10603.52,,
14,07/10/2024 12:30:00,27.63,9436.16,,
15,07/10/2024 12:40:00,27.50,11212.80,,
16,07/10/2024 12:50:00,27.54,12052.48,,
17,07/10/2024 13:00:00,27.45,6190.08,,
18,07/10/2024 13:10:00,27.32,9395.20,,
19,07/10/2024 13:10:43,,,Logged,Logged
