#,Date-Time (HST),Temperature (°C) ,Light (lux) 
1,06/30/2024 19:00:00,26.42,389.76
2,06/30/2024 19:30:00,26.34,14.05
3,06/30/2024 20:00:00,26.38,0.00
4,06/30/2024 20:30:00,26.34,0.00
5,06/30/2024 21:00:00,26.25,0.00
6,06/30/2024 21:30:00,26.21,0.00
7,06/30/2024 22:00:00,26.12,0.00
8,06/30/2024 22:30:00,26.04,0.00
9,06/30/2024 23:00:00,26.04,0.00
10,06/30/2024 23:30:00,26.08,0.00
11,07/01/2024 00:00:00,26.08,0.00
12,07/01/2024 00:30:00,26.17,0.00
13,07/01/2024 01:00:00,26.04,0.00
14,07/01/2024 01:30:00,25.99,0.00
15,07/01/2024 02:00:00,25.95,0.00
16,07/01/2024 02:30:00,25.99,0.00
17,07/01/2024 03:00:00,25.99,0.00
18,07/01/2024 03:30:00,26.04,0.00
19,07/01/2024 04:00:00,26.04,0.00
20,07/01/2024 04:30:00,26.04,0.00
21,07/01/2024 05:00:00,26.04,0.00
22,07/01/2024 05:30:00,25.99,1.88
23,07/01/2024 06:00:00,25.95,341.76
24,07/01/2024 06:30:00,26.08,1474.56
25,07/01/2024 07:00:00,26.30,3914.24
26,07/01/2024 07:30:00,26.68,3403.52
27,07/01/2024 08:00:00,26.60,3155.20
28,07/01/2024 08:30:00,27.50,8547.84
29,07/01/2024 09:00:00,26.94,6333.44
30,07/01/2024 09:30:00,27.02,8184.32
31,07/01/2024 10:00:00,26.94,4951.04
32,07/01/2024 10:30:00,26.94,4824.32
33,07/01/2024 11:00:00,27.41,17254.40
34,07/01/2024 11:30:00,27.88,24268.80
35,07/01/2024 12:00:00,27.75,4944.64
36,07/01/2024 12:30:00,27.45,5273.60
37,07/01/2024 13:00:00,27.37,7411.20
38,07/01/2024 13:30:00,27.37,10385.92
39,07/01/2024 14:00:00,27.41,10009.60
40,07/01/2024 14:30:00,27.41,11581.44
41,07/01/2024 15:00:00,27.45,9474.56
42,07/01/2024 15:30:00,27.84,16757.76
43,07/01/2024 16:00:00,27.37,4659.20
44,07/01/2024 16:30:00,27.24,3541.76
45,07/01/2024 17:00:00,27.20,3649.28
46,07/01/2024 17:30:00,27.07,1785.60
47,07/01/2024 18:00:00,27.11,8317.44
48,07/01/2024 18:30:00,26.85,997.76
49,07/01/2024 19:00:00,26.68,452.80
50,07/01/2024 19:30:00,26.55,13.84
51,07/01/2024 20:00:00,26.42,0.00
52,07/01/2024 20:30:00,26.34,0.00
53,07/01/2024 21:00:00,26.25,0.00
54,07/01/2024 21:30:00,26.17,0.00
55,07/01/2024 22:00:00,26.12,0.00
56,07/01/2024 22:30:00,26.04,0.00
57,07/01/2024 23:00:00,25.99,0.00
58,07/01/2024 23:30:00,25.95,0.00
59,07/02/2024 00:00:00,25.91,0.00
60,07/02/2024 00:30:00,25.87,0.00
61,07/02/2024 01:00:00,25.91,0.00
62,07/02/2024 01:30:00,25.82,0.00
63,07/02/2024 02:00:00,25.82,0.00
64,07/02/2024 02:30:00,25.87,0.00
65,07/02/2024 03:00:00,25.78,0.00
66,07/02/2024 03:30:00,25.82,0.00
67,07/02/2024 04:00:00,25.78,0.00
68,07/02/2024 04:30:00,25.74,0.00
69,07/02/2024 05:00:00,25.69,0.00
70,07/02/2024 05:30:00,25.74,1.67
71,07/02/2024 06:00:00,25.74,257.20
72,07/02/2024 06:30:00,25.69,765.76
73,07/02/2024 07:00:00,26.08,5655.04
74,07/02/2024 07:30:00,26.55,11069.44
75,07/02/2024 08:00:00,26.60,7815.68
76,07/02/2024 08:30:00,26.68,8829.44
77,07/02/2024 09:00:00,27.88,20664.32
78,07/02/2024 09:30:00,27.67,5288.96
79,07/02/2024 10:00:00,27.63,16000.00
80,07/02/2024 10:30:00,27.75,16798.72
81,07/02/2024 11:00:00,27.45,12549.12
82,07/02/2024 11:30:00,27.67,19671.04
83,07/02/2024 12:00:00,27.93,21790.72
84,07/02/2024 12:30:00,27.54,20177.92
85,07/02/2024 13:00:00,27.75,16133.12
86,07/02/2024 13:30:00,27.58,3417.60
87,07/02/2024 14:00:00,28.01,21463.04
88,07/02/2024 14:30:00,27.67,12072.96
89,07/02/2024 15:00:00,27.67,11714.56
90,07/02/2024 15:30:00,27.45,8284.16
91,07/02/2024 16:00:00,27.32,7170.56
92,07/02/2024 16:30:00,27.20,5939.20
93,07/02/2024 17:00:00,27.02,4263.68
94,07/02/2024 17:30:00,26.94,3349.76
