#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/04/2024 09:59:38,,,Logged,
2,07/04/2024 10:00:00,27.88,53.64,,
3,07/04/2024 10:10:00,27.41,76.48,,
4,07/04/2024 10:20:00,27.32,76.48,,
5,07/04/2024 10:30:00,27.37,77.42,,
6,07/04/2024 10:40:00,27.37,72.76,,
7,07/04/2024 10:50:00,27.37,35.35,,
8,07/04/2024 11:00:00,27.37,69.86,,
9,07/04/2024 11:10:00,27.37,42.42,,
10,07/04/2024 11:20:00,27.32,27.85,,
11,07/04/2024 11:30:00,27.02,34.11,,
12,07/04/2024 11:40:00,26.98,27.23,,
13,07/04/2024 11:50:00,27.11,22.87,,
14,07/04/2024 12:00:00,27.11,17.85,,
15,07/04/2024 12:10:00,27.28,18.29,,
16,07/04/2024 12:20:00,27.32,17.44,,
17,07/04/2024 12:30:00,27.37,17.03,,
18,07/04/2024 12:40:00,27.37,19.12,,
19,07/04/2024 12:50:00,27.41,25.99,,
20,07/04/2024 13:00:00,27.37,14.75,,
21,07/04/2024 13:10:00,27.37,10.18,,
22,07/04/2024 13:20:00,27.37,8.91,,
23,07/04/2024 13:30:00,27.41,9.97,,
24,07/04/2024 13:40:00,27.41,8.11,,
25,07/04/2024 13:50:00,27.41,13.30,,
26,07/04/2024 14:00:00,27.37,10.59,,
27,07/04/2024 14:10:00,27.37,10.18,,
28,07/04/2024 14:20:00,27.41,165.36,,
29,07/04/2024 14:30:00,27.41,166.16,,
30,07/04/2024 14:40:00,27.45,166.16,,
31,07/04/2024 14:50:00,27.41,162.08,,
32,07/04/2024 15:00:00,27.54,284.24,,
33,07/04/2024 15:10:00,27.58,280.88,,
34,07/04/2024 15:20:00,27.54,197.84,,
35,07/04/2024 15:30:00,27.45,266.00,,
36,07/04/2024 15:40:00,27.45,312.56,,
37,07/04/2024 15:50:00,27.37,360.64,,
38,07/04/2024 16:00:00,27.28,358.24,,
39,07/04/2024 16:10:00,27.32,354.88,,
40,07/04/2024 16:20:00,27.32,354.88,,
41,07/04/2024 16:30:00,27.24,354.88,,
42,07/04/2024 16:40:00,27.32,367.36,,
43,07/04/2024 16:50:00,27.28,322.48,,
44,07/04/2024 17:00:00,27.24,331.52,,
45,07/04/2024 17:10:00,27.24,311.76,,
46,07/04/2024 17:20:00,27.24,315.84,,
47,07/04/2024 17:30:00,27.20,5.60,,
48,07/04/2024 17:40:00,27.15,4.78,,
49,07/04/2024 17:50:00,27.20,5.16,,
50,07/04/2024 18:00:00,27.20,5.81,,
51,07/04/2024 18:10:00,27.20,4.78,,
52,07/04/2024 18:20:00,27.15,4.36,,
53,07/04/2024 18:30:00,27.15,4.75,,
54,07/04/2024 18:40:00,27.15,3.30,,
55,07/04/2024 18:50:00,27.11,2.27,,
56,07/04/2024 19:00:00,27.11,1.65,,
57,07/04/2024 19:10:00,27.11,0.41,,
58,07/04/2024 19:20:00,27.07,0.00,,
59,07/04/2024 19:30:00,27.07,0.00,,
60,07/04/2024 19:40:00,27.11,0.00,,
61,07/04/2024 19:50:00,27.07,0.00,,
62,07/04/2024 20:00:00,27.07,0.00,,
63,07/04/2024 20:10:00,27.11,0.00,,
64,07/04/2024 20:20:00,27.02,0.00,,
65,07/04/2024 20:30:00,27.02,0.00,,
66,07/04/2024 20:40:00,26.98,0.00,,
67,07/04/2024 20:50:00,27.02,0.00,,
68,07/04/2024 21:00:00,27.02,0.00,,
69,07/04/2024 21:10:00,27.02,0.00,,
70,07/04/2024 21:20:00,26.94,0.00,,
71,07/04/2024 21:30:00,26.98,0.00,,
72,07/04/2024 21:40:00,26.94,0.00,,
73,07/04/2024 21:50:00,26.94,0.00,,
74,07/04/2024 22:00:00,26.94,0.00,,
75,07/04/2024 22:10:00,26.94,0.00,,
76,07/04/2024 22:20:00,26.90,0.00,,
77,07/04/2024 22:30:00,26.94,0.00,,
78,07/04/2024 22:40:00,26.90,0.00,,
79,07/04/2024 22:50:00,26.94,0.00,,
80,07/04/2024 23:00:00,26.90,0.00,,
81,07/04/2024 23:10:00,26.90,0.00,,
82,07/04/2024 23:20:00,26.90,0.00,,
83,07/04/2024 23:30:00,26.90,0.00,,
84,07/04/2024 23:40:00,26.90,0.00,,
85,07/04/2024 23:50:00,26.85,0.00,,
86,07/05/2024 00:00:00,26.85,0.00,,
87,07/05/2024 00:10:00,26.81,0.00,,
88,07/05/2024 00:20:00,26.85,0.00,,
89,07/05/2024 00:30:00,26.81,0.00,,
90,07/05/2024 00:40:00,26.81,0.00,,
91,07/05/2024 00:50:00,26.81,0.00,,
92,07/05/2024 01:00:00,26.81,0.00,,
93,07/05/2024 01:10:00,26.81,0.00,,
94,07/05/2024 01:20:00,26.77,0.00,,
95,07/05/2024 01:30:00,26.77,0.00,,
96,07/05/2024 01:40:00,26.81,0.00,,
97,07/05/2024 01:50:00,26.81,0.00,,
98,07/05/2024 02:00:00,26.77,0.00,,
99,07/05/2024 02:10:00,26.81,0.00,,
100,07/05/2024 02:20:00,26.81,0.00,,
101,07/05/2024 02:30:00,26.81,0.00,,
102,07/05/2024 02:40:00,26.81,0.00,,
103,07/05/2024 02:50:00,26.81,0.00,,
104,07/05/2024 03:00:00,26.81,0.00,,
105,07/05/2024 03:10:00,26.81,0.00,,
106,07/05/2024 03:20:00,26.77,0.00,,
107,07/05/2024 03:30:00,26.77,0.00,,
108,07/05/2024 03:40:00,26.77,0.00,,
109,07/05/2024 03:50:00,26.77,0.00,,
110,07/05/2024 04:00:00,26.77,0.00,,
111,07/05/2024 04:10:00,26.72,0.00,,
112,07/05/2024 04:20:00,26.72,0.00,,
113,07/05/2024 04:30:00,26.64,0.00,,
114,07/05/2024 04:40:00,26.64,0.00,,
115,07/05/2024 04:50:00,26.60,0.00,,
116,07/05/2024 05:00:00,26.60,0.00,,
117,07/05/2024 05:10:00,26.60,0.00,,
118,07/05/2024 05:20:00,26.60,0.00,,
119,07/05/2024 05:30:00,26.55,0.00,,
120,07/05/2024 05:40:00,26.51,0.00,,
121,07/05/2024 05:50:00,26.51,0.00,,
122,07/05/2024 06:00:00,26.55,0.00,,
123,07/05/2024 06:10:00,26.47,0.00,,
124,07/05/2024 06:20:00,26.47,0.00,,
125,07/05/2024 06:30:00,26.42,1.03,,
126,07/05/2024 06:40:00,26.42,2.27,,
127,07/05/2024 06:50:00,26.34,2.27,,
128,07/05/2024 07:00:00,26.42,3.10,,
129,07/05/2024 07:10:00,26.38,4.75,,
130,07/05/2024 07:20:00,26.42,5.16,,
131,07/05/2024 07:30:00,26.38,4.13,,
132,07/05/2024 07:40:00,26.38,11.21,,
133,07/05/2024 07:50:00,26.34,24.73,,
134,07/05/2024 08:00:00,26.42,32.87,,
135,07/05/2024 08:10:00,26.47,328.16,,
136,07/05/2024 08:20:00,26.47,433.28,,
137,07/05/2024 08:30:00,26.60,523.04,,
138,07/05/2024 08:40:00,26.64,376.64,,
139,07/05/2024 08:50:00,26.60,351.52,,
140,07/05/2024 09:00:00,26.55,361.44,,
141,07/05/2024 09:10:00,26.60,388.96,,
142,07/05/2024 09:20:00,26.72,436.48,,
143,07/05/2024 09:30:00,26.81,467.20,,
144,07/05/2024 09:40:00,26.85,379.04,,
145,07/05/2024 09:50:00,26.90,467.52,,
146,07/05/2024 10:00:00,26.98,458.88,,
147,07/05/2024 10:10:00,27.02,388.16,,
148,07/05/2024 10:20:00,27.11,420.80,,
149,07/05/2024 10:30:00,27.15,408.48,,
150,07/05/2024 10:40:00,27.15,410.08,,
151,07/05/2024 10:50:00,27.15,398.88,,
152,07/05/2024 11:00:00,27.20,290.00,,
153,07/05/2024 11:10:00,27.24,324.32,,
154,07/05/2024 11:20:00,27.28,323.52,,
155,07/05/2024 11:30:00,27.32,314.24,,
156,07/05/2024 11:40:00,27.32,309.28,,
157,07/05/2024 11:50:00,27.32,290.00,,
158,07/05/2024 12:00:00,27.28,304.32,,
159,07/05/2024 12:10:00,27.28,299.28,,
160,07/05/2024 12:20:00,27.28,295.20,,
