#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/04/2024 10:00:00,27.50,9.35,,
2,07/04/2024 10:10:00,27.24,11.62,,
3,07/04/2024 10:20:00,27.24,11.82,,
4,07/04/2024 10:30:00,27.24,11.41,,
5,07/04/2024 10:40:00,27.32,10.80,,
6,07/04/2024 10:50:00,27.37,5.08,,
7,07/04/2024 11:00:00,27.37,9.79,,
8,07/04/2024 11:10:00,27.37,6.30,,
9,07/04/2024 11:20:00,27.24,4.06,,
10,07/04/2024 11:30:00,26.98,4.88,,
11,07/04/2024 11:40:00,26.98,7.93,,
12,07/04/2024 11:50:00,27.15,7.32,,
13,07/04/2024 12:00:00,27.24,5.29,,
14,07/04/2024 12:10:00,27.28,5.29,,
15,07/04/2024 12:20:00,27.37,4.88,,
16,07/04/2024 12:30:00,27.41,4.47,,
17,07/04/2024 12:40:00,27.37,5.08,,
18,07/04/2024 12:50:00,27.37,6.30,,
19,07/04/2024 13:00:00,27.32,5.90,,
20,07/04/2024 13:10:00,27.41,4.67,,
21,07/04/2024 13:20:00,27.37,3.86,,
22,07/04/2024 13:30:00,27.37,4.88,,
23,07/04/2024 13:40:00,27.41,3.86,,
24,07/04/2024 13:50:00,27.37,6.51,,
25,07/04/2024 14:00:00,27.37,4.88,,
26,07/04/2024 14:10:00,27.41,4.47,,
27,07/04/2024 14:20:00,27.37,174.00,,
28,07/04/2024 14:30:00,27.41,174.88,,
29,07/04/2024 14:40:00,27.50,174.00,,
30,07/04/2024 14:50:00,27.45,173.20,,
31,07/04/2024 15:00:00,27.41,173.20,,
32,07/04/2024 15:10:00,27.45,170.80,,
33,07/04/2024 15:20:00,27.32,172.40,,
34,07/04/2024 15:30:00,27.37,173.20,,
35,07/04/2024 15:40:00,27.24,179.04,,
36,07/04/2024 15:50:00,26.98,183.12,,
37,07/04/2024 16:00:00,26.85,181.44,,
38,07/04/2024 16:10:00,26.90,181.44,,
39,07/04/2024 16:20:00,26.90,180.64,,
40,07/04/2024 16:30:00,26.90,182.24,,
41,07/04/2024 16:40:00,27.02,188.00,,
42,07/04/2024 16:50:00,26.94,192.00,,
