#,Date-Time (HST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07/04/2024 10:00:00,28.35,79.26,,
2,07/04/2024 10:10:00,28.14,93.68,,
3,07/04/2024 10:20:00,28.10,88.56,,
4,07/04/2024 10:30:00,28.14,81.14,,
5,07/04/2024 10:40:00,28.18,101.20,,
6,07/04/2024 10:50:00,28.23,54.38,,
7,07/04/2024 11:00:00,28.57,32.10,,
8,07/04/2024 11:10:00,29.13,17.90,,
9,07/04/2024 11:20:00,29.64,9.25,,
10,07/04/2024 11:30:00,28.74,77.58,,
11,07/04/2024 11:40:00,28.31,113.88,,
12,07/04/2024 11:50:00,28.18,115.56,,
13,07/04/2024 12:00:00,28.14,80.10,,
14,07/04/2024 12:10:00,28.14,65.82,,
15,07/04/2024 12:20:00,28.14,76.02,,
16,07/04/2024 12:30:00,28.14,59.50,,
17,07/04/2024 12:40:00,28.10,72.56,,
18,07/04/2024 12:50:00,28.05,103.72,,
19,07/04/2024 13:00:00,28.05,102.88,,
20,07/04/2024 13:10:00,28.05,74.24,,
21,07/04/2024 13:20:00,28.01,70.80,,
22,07/04/2024 13:30:00,27.93,64.36,,
23,07/04/2024 13:40:00,27.84,51.28,,
24,07/04/2024 13:50:00,27.80,92.52,,
25,07/04/2024 14:00:00,27.80,36.60,,
26,07/04/2024 14:10:00,27.80,50.04,,
27,07/04/2024 14:20:00,27.75,62.22,,
28,07/04/2024 14:30:00,27.75,56.36,,
29,07/04/2024 14:40:00,27.71,34.09,,
30,07/04/2024 14:50:00,27.71,42.04,,
31,07/04/2024 15:00:00,27.71,55.52,,
32,07/04/2024 15:10:00,27.75,22.27,,
33,07/04/2024 15:20:00,27.67,41.20,,
34,07/04/2024 15:30:00,27.67,54.68,,
35,07/04/2024 15:40:00,27.71,470.08,,
36,07/04/2024 15:50:00,29.26,0.00,,
37,07/04/2024 16:00:00,27.37,3014.40,,
38,07/04/2024 16:10:00,26.72,3175.68,,
39,07/04/2024 16:20:00,26.72,4600.32,,
40,07/04/2024 16:30:00,26.64,2649.60,,
41,07/04/2024 16:40:00,26.60,1131.84,,
42,07/04/2024 16:50:00,26.55,1120.96,,
43,07/04/2024 17:00:00,26.55,1505.92,,
44,07/04/2024 17:10:00,26.47,598.08,,
45,07/04/2024 17:20:00,26.38,1818.24,,
46,07/04/2024 17:30:00,26.30,992.00,,
47,07/04/2024 17:40:00,26.25,896.00,,
48,07/04/2024 17:50:00,26.21,501.92,,
49,07/04/2024 18:00:00,26.12,920.00,,
50,07/04/2024 18:10:00,26.08,491.04,,
51,07/04/2024 18:20:00,26.04,338.72,,
52,07/04/2024 18:30:00,25.95,408.64,,
53,07/04/2024 18:40:00,26.42,240.48,,
54,07/04/2024 18:50:00,26.42,163.92,,
55,07/04/2024 19:00:00,26.30,118.48,,
56,07/04/2024 19:10:00,26.21,65.56,,
57,07/04/2024 19:20:00,26.12,22.69,,
58,07/04/2024 19:30:00,26.04,3.97,,
59,07/04/2024 19:40:00,25.99,0.00,,
60,07/04/2024 19:50:00,26.38,0.00,,
61,07/04/2024 20:00:00,26.38,0.00,,
62,07/04/2024 20:10:00,26.25,0.00,,
63,07/04/2024 20:20:00,26.21,0.00,,
64,07/04/2024 20:30:00,26.08,0.00,,
65,07/04/2024 20:40:00,26.04,0.00,,
66,07/04/2024 20:50:00,25.99,0.00,,
67,07/04/2024 21:00:00,26.42,0.00,,
68,07/04/2024 21:10:00,26.38,0.00,,
69,07/04/2024 21:20:00,26.30,0.00,,
70,07/04/2024 21:30:00,26.12,0.00,,
71,07/04/2024 21:40:00,26.04,0.00,,
72,07/04/2024 21:50:00,25.95,0.00,,
73,07/04/2024 22:00:00,26.42,0.00,,
74,07/04/2024 22:10:00,26.38,0.00,,
75,07/04/2024 22:20:00,26.25,0.00,,
76,07/04/2024 22:30:00,26.17,0.00,,
77,07/04/2024 22:40:00,26.08,0.00,,
78,07/04/2024 22:50:00,25.95,0.00,,
79,07/04/2024 23:00:00,26.21,0.00,,
80,07/04/2024 23:10:00,26.38,0.00,,
81,07/04/2024 23:20:00,26.30,0.00,,
82,07/04/2024 23:30:00,26.12,0.00,,
83,07/04/2024 23:40:00,26.08,0.00,,
84,07/04/2024 23:50:00,25.95,0.00,,
85,07/05/2024 00:00:00,26.25,0.00,,
86,07/05/2024 00:10:00,26.38,0.00,,
87,07/05/2024 00:20:00,26.25,0.00,,
88,07/05/2024 00:30:00,26.12,0.00,,
89,07/05/2024 00:40:00,26.08,0.00,,
90,07/05/2024 00:50:00,25.91,0.00,,
91,07/05/2024 01:00:00,26.34,0.00,,
92,07/05/2024 01:10:00,26.34,0.00,,
93,07/05/2024 01:20:00,26.25,0.00,,
94,07/05/2024 01:30:00,26.17,0.00,,
95,07/05/2024 01:40:00,25.99,0.00,,
96,07/05/2024 01:50:00,25.95,0.00,,
97,07/05/2024 02:00:00,26.30,0.00,,
98,07/05/2024 02:10:00,26.42,0.00,,
99,07/05/2024 02:20:00,26.30,0.00,,
100,07/05/2024 02:30:00,26.21,0.00,,
101,07/05/2024 02:40:00,26.12,0.00,,
102,07/05/2024 02:50:00,26.04,0.00,,
103,07/05/2024 03:00:00,25.95,0.00,,
104,07/05/2024 03:10:00,26.25,0.00,,
105,07/05/2024 03:20:00,26.38,0.00,,
106,07/05/2024 03:30:00,26.30,0.00,,
107,07/05/2024 03:40:00,26.12,0.00,,
108,07/05/2024 03:50:00,26.04,0.00,,
109,07/05/2024 04:00:00,25.99,0.00,,
110,07/05/2024 04:10:00,26.34,0.00,,
